time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9915,0.0341026,0.00262185,-0.0343267
21.0015,0.0309758,0.00236191,-0.0353871
21.0115,0.0332048,0.00384144,-0.0337162
21.0215,0.0339994,0.00213187,-0.0347309
21.0315,0.0337869,0.00139883,-0.032587
21.0415,0.0331166,0.00406845,-0.0353411
21.0515,0.0326599,0.00408303,-0.0322358
21.0615,0.0334543,0.0033499,-0.0347153
21.0715,0.0332569,0.00237261,-0.0347685
21.0815,0.0340208,0.00115115,-0.0335858
21.0915,0.0330909,0.00310347,-0.0341426
21.1015,0.0343734,0.00381981,-0.0358895
21.1115,0.0324668,0.00383421,-0.0349967
21.1215,0.0325133,0.00406221,-0.0355381
21.1315,0.0330633,0.00308475,-0.0372849
21.1415,0.0348034,0.00114596,-0.0360868
21.1515,0.0333849,0.00163327,-0.0344615
21.1615,0.0332023,0.00381426,-0.0369559
21.1715,0.0334621,0.0026078,-0.0343234
21.1815,0.0298614,0.00382744,-0.0353988
21.1915,0.0318606,0.0016291,-0.0359095
21.2015,0.0321508,0.00576308,-0.0369542
21.2115,0.0336616,0.00454124,-0.035527
21.2215,0.0329599,0.00577601,-0.0338862
21.2315,0.0318003,0.00211272,-0.0346562
21.2415,0.0347605,0.0016232,-0.0329695
21.2515,0.0338296,0.00235435,-0.0347465
21.2615,0.0338905,0.00113235,-0.0350281
21.2715,0.035401,0.00306887,-0.0370339
21.2815,0.0327762,0.00160267,-0.0378342
21.2915,0.0347442,0.00137239,-0.0349419
21.3015,0.0335842,0.00185924,-0.0367187
21.3115,0.0348349,0.000637086,-0.0345587
21.3215,0.0339035,0.00454182,-0.0343975
21.3315,0.0332163,0.0033196,-0.0351823
21.3415,0.0330324,0.00258562,-0.0359671
21.3515,0.0335504,0.00331645,-0.0338222
21.3615,0.0326493,0.00354371,-0.0377807
21.3715,0.032923,0.0016042,-0.0353915
21.3815,0.0339443,0.00184666,-0.0371374
21.3915,0.0347061,0.00184494,-0.0352364
21.4015,0.03501,0.00355216,-0.0360209
21.4115,0.0343221,0.00379451,-0.0363323
21.4215,0.0319251,0.00208372,-0.0359112
21.4315,0.0380576,0.00159358,-0.0344219
21.4415,0.0351721,0.00525378,-0.0359996
21.4515,0.0350026,0.00401591,-0.0387216
21.4615,0.0357637,0.00132843,-0.0382698
21.4715,0.0340834,0.00329481,-0.0354223
21.4815,0.0353632,0.000851396,-0.0371523
21.4915,0.0349186,-0.00110377,-0.0369444
21.5015,0.0327497,0.00280036,-0.035592
21.5115,0.0323355,0.00253884,-0.0383289
21.5215,0.0362546,0.0023078,-0.035893
21.5315,0.0375338,0.00254974,-0.0371497
21.5415,0.0373329,0.00472951,-0.0374602
21.5515,0.0351787,0.00375069,-0.0375265
21.5615,0.0347334,0.00181053,-0.0373334
21.5715,0.0345321,0.00205234,-0.0378725
21.5815,0.0309128,0.00278238,-0.0369926
21.5915,0.0328933,0.00375654,-0.0358074
21.6015,0.0344159,0.00202986,-0.0387572
21.6115,0.0342294,0.00349222,-0.0390672
21.6215,0.0369267,0.00179599,-0.0364016
21.6315,0.0360228,0.00446372,-0.0401293
21.6415,0.036782,0.00154672,-0.0374789
21.6515,0.0338943,0.0027648,-0.0378037
21.6615,0.0368505,0.00398284,-0.0373503
21.6715,0.0346949,0.00324773,-0.0359508
21.6815,0.0367048,0.00322974,-0.0386558
21.6915,0.0384552,0.00202154,-0.0382021
21.7015,0.036055,0.00372771,-0.0375499
21.7115,0.0356079,0.00274832,-0.0380878
21.7215,0.0356489,0.00274544,-0.0381374
21.7316,0.0349573,0.00272727,-0.0391786
21.7416,0.0345098,0.00273959,-0.0382514
21.7516,0.0335738,0.0024772,-0.0390483
21.7616,0.0336143,0.00247418,-0.0390975
21.7716,0.0338987,0.00346293,-0.0386582
21.7816,0.0371127,0.00150673,-0.0389055
21.7916,0.0371527,0.00150359,-0.0389543
21.8016,0.0374214,0.00491837,-0.0373093
21.8116,0.0357369,0.00271791,-0.0346875
21.8216,0.0372565,0.00393535,-0.0376504
21.8316,0.0353428,0.0010024,-0.0359898
21.8416,0.0375793,0.00270805,-0.0377317
21.8516,0.0363977,0.00343711,-0.037795
21.8616,0.037169,0.00221302,-0.0380719
21.8716,0.0360023,-0.000475947,-0.038608
21.8816,0.0360409,-0.00047942,-0.0386557
21.8916,0.0360794,5.34601e-06,-0.0384592
21.9016,0.0346528,0.00146663,-0.0397578
21.9116,0.0349503,0.00291262,-0.04127
21.9216,0.0369261,-5.41775e-06,-0.0405543
21.9316,0.0364756,0.00119635,-0.0403572
21.9416,0.0384663,0.00265749,-0.0406482
21.9516,0.0372677,0.002669,-0.0382689
21.9616,0.0353671,0.00168867,-0.0385749
21.9716,0.0366248,0.00241727,-0.0393386
21.9816,0.0368906,0.00314583,-0.0376759
21.9916,0.034257,0.00215012,-0.040194
22.0016,0.0360025,0.00409929,-0.0397366
22.0116,0.0372747,0.00311877,-0.0414762
22.0216,0.0358308,0.0023976,-0.0393399
22.0316,0.0375757,0.00164587,-0.0405757
22.0416,0.0378555,0.00116876,-0.0394005
22.0516,0.0369145,0.00214119,-0.0392169
22.0616,0.0367057,0.00238116,-0.0399944
22.0716,0.0396705,0.00211756,-0.0417178
22.0816,0.0372488,0.00334927,-0.0376581
22.0916,0.0372836,0.00212429,-0.0381757
22.1016,0.0378217,0.00430196,-0.0406616
22.1116,0.0390614,0.00431286,-0.0392411
22.1216,0.0374018,0.00284363,-0.0395293
22.1316,0.0364439,0.00528058,-0.0393597
22.1416,0.0369964,0.00233117,-0.0418143
22.1516,0.0384795,0.00258606,-0.0398896
22.1616,0.0375362,-0.000104029,-0.0413978
22.1716,0.0361044,0.00208863,-0.0400068
22.1816,0.0380904,0.00183985,-0.0409959
22.1916,0.0356816,0.00330002,-0.0398638
22.2016,0.035714,0.00134219,-0.0403796
