time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.985,-0.0233399,0.0234091,-0.029432
20.995,-0.025221,0.0196165,-0.0265692
21.005,-0.0271779,0.0207066,-0.0236908
21.015,-0.0270894,0.0197061,-0.0256186
21.0251,-0.0300217,0.0217419,-0.0266153
21.0351,-0.0250035,0.0196576,-0.0255669
21.0451,-0.0249439,0.0196637,-0.0255558
21.0552,-0.0268521,0.0197459,-0.0246135
21.0652,-0.02583,0.023551,-0.0294082
21.0752,-0.0277064,0.0197572,-0.0265274
21.0852,-0.0266373,0.0206781,-0.0284222
21.0953,-0.0255982,0.0216141,-0.0303166
21.1053,-0.0245585,0.0187201,-0.0254664
21.1153,-0.0255933,0.0236688,-0.0235607
21.1253,-0.0263987,0.0207133,-0.0274072
21.1354,-0.025464,0.022732,-0.0225864
21.1454,-0.0272295,0.0178384,-0.0254556
21.1554,-0.0271633,0.0178426,-0.0254405
21.1654,-0.0251129,0.0206695,-0.0302163
21.1755,-0.0231229,0.0215889,-0.0291934
21.1855,-0.0259999,0.0207381,-0.0273157
21.1955,-0.0249242,0.0206806,-0.0292065
21.2055,-0.0259078,0.0227133,-0.0272975
21.2156,-0.0249073,0.0217704,-0.0224432
21.2256,-0.0218156,0.0206595,-0.0252484
21.2356,-0.0256355,0.0207386,-0.0281906
21.2457,-0.0246331,0.0207565,-0.025273
21.2557,-0.0234927,0.0196908,-0.0290841
21.2657,-0.0234961,0.0216767,-0.0271424
21.2757,-0.0303043,0.0209311,-0.0262836
21.2858,-0.0222956,0.0196665,-0.0289949
21.2958,-0.0222209,0.0196682,-0.0289746
21.3058,-0.0261738,0.0217906,-0.0261462
21.3158,-0.0230613,0.0187555,-0.0270254
21.3259,-0.027013,0.0218389,-0.0251576
21.3359,-0.0267984,0.0178725,-0.0280043
21.3459,-0.0239129,0.021749,-0.0250676
21.3559,-0.0258333,0.0237637,-0.0250907
21.366,-0.0217564,0.0255035,-0.0326969
21.376,-0.0245299,0.0187899,-0.0288435
21.386,-0.022649,0.0265718,-0.0278736
21.396,-0.0234529,0.0197814,-0.0259114
21.4061,-0.0233713,0.0216883,-0.0287706
21.4161,-0.0222819,0.0197346,-0.0268076
21.4261,-0.0221989,0.0197338,-0.0267821
21.4362,-0.0231376,0.019809,-0.0238876
21.4462,-0.0240299,0.0207844,-0.0257991
21.4562,-0.0229684,0.0207524,-0.0257571
21.4662,-0.0268349,0.0218342,-0.0267522
21.4763,-0.0266877,0.0179414,-0.0247868
21.4863,-0.0255785,0.0169323,-0.0257049
21.4963,-0.0196622,0.0206531,-0.0255849
21.5063,-0.0215272,0.0206964,-0.0265631
21.5164,-0.0244291,0.0208311,-0.0236958
21.5264,-0.0243396,0.0208282,-0.0236661
21.5364,-0.0212741,0.0207031,-0.0255128
21.5464,-0.0231365,0.0216916,-0.0283967
21.5565,-0.0231214,0.0217796,-0.0225827
21.5665,-0.0189857,0.0205858,-0.0282581
21.5765,-0.0209529,0.0216957,-0.0234656
21.5865,-0.0217446,0.0196927,-0.0282551
21.5966,-0.0216963,0.0226332,-0.029199
21.6066,-0.0225324,0.0177916,-0.0253054
21.6166,-0.0204534,0.0177105,-0.0262027
21.6267,-0.0203574,0.0177055,-0.0261687
21.6367,-0.0243195,0.0208435,-0.0214041
21.6467,-0.0222233,0.0197852,-0.0222848
21.6567,-0.0249939,0.0178417,-0.0261404
21.6668,-0.0210195,0.0196973,-0.0250976
21.6768,-0.0249026,0.0208356,-0.0222233
21.6868,-0.0217966,0.0197153,-0.0250401
21.6968,-0.0207804,0.0207158,-0.0211425
21.7069,-0.0226322,0.0216856,-0.0249807
21.7169,-0.0176168,0.0215412,-0.0238899
21.7269,-0.0183839,0.0195503,-0.0286732
21.7369,-0.018372,0.0205804,-0.0238279
21.747,-0.018268,0.0205726,-0.0237885
21.757,-0.0171867,0.0214954,-0.0246948
21.767,-0.0220098,0.0216398,-0.0247461
21.777,-0.0228803,0.0207311,-0.0218215
21.7871,-0.0208051,0.0225687,-0.0256255
21.7971,-0.0167457,0.0204999,-0.0235697
21.8071,-0.0195977,0.0205975,-0.0226274
21.8172,-0.0184971,0.0205576,-0.0225696
21.8272,-0.0193489,0.0195714,-0.0244644
21.8372,-0.0192387,0.0195615,-0.0244209
21.8472,-0.0181819,0.021474,-0.0243617
21.8573,-0.0239754,0.0235541,-0.0273233
21.8673,-0.0179581,0.021453,-0.0242724
21.8773,-0.0188065,0.0195501,-0.0223197
21.8873,-0.0226144,0.0186692,-0.0232809
21.8974,-0.01748,0.0184137,-0.0298874
21.9074,-0.01648,0.0184632,-0.023081
21.9174,-0.0143654,0.0202824,-0.0268637
21.9274,-0.0211308,0.0195226,-0.0259767
21.9375,-0.0210595,0.0224399,-0.026905
21.9475,-0.0179968,0.0204131,-0.0239114
21.9575,-0.0178784,0.0204003,-0.0238622
21.9675,-0.0167675,0.0194106,-0.0218746
21.9776,-0.0166324,0.0193667,-0.023747
21.9876,-0.0194721,0.0223438,-0.0276026
21.9976,-0.0135069,0.0221926,-0.0235995
22.0076,-0.0163757,0.022331,-0.0197637
22.0177,-0.0160853,0.016381,-0.0235262
22.0277,-0.0210584,0.0243771,-0.0216578
22.0377,-0.0169824,0.023233,-0.0225049
22.0478,-0.0167662,0.0192963,-0.0233974
22.0578,-0.0165951,0.0192351,-0.0262272
22.0678,-0.016469,0.0192194,-0.0261725
22.0778,-0.0204011,0.0213701,-0.0203954
22.0879,-0.0161996,0.0201331,-0.0289457
22.0979,-0.0210305,0.0174311,-0.0212755
22.1079,-0.0189333,0.0202371,-0.0250336
22.1179,-0.0159046,0.0201742,-0.0220468
22.128,-0.014752,0.0210419,-0.0258191
22.138,-0.0156892,0.0221076,-0.0219463
22.148,-0.0155423,0.0210979,-0.0218724
22.158,-0.0133958,0.0209729,-0.0246513
22.1681,-0.0123014,0.0209545,-0.0226538
22.1781,-0.0121677,0.0209357,-0.0225936
22.1881,-0.0169465,0.019162,-0.0197253
22.1981,-0.0148278,0.0190511,-0.0215715
22.2082,-0.0166298,0.0190621,-0.0234629
22.2182,-0.0165542,0.0200798,-0.0195402
22.2282,-0.016478,0.0210667,-0.0175548
22.2383,-0.0152872,0.0228621,-0.0242359
22.2483,-0.0180477,0.0200033,-0.0242026
22.2583,-0.012995,0.020791,-0.0250233
22.2683,-0.0197061,0.0180689,-0.0241039
22.2784,-0.0195653,0.0180473,-0.0240385
22.2884,-0.0135035,0.0178271,-0.0248271
22.2984,-0.0173896,0.0199564,-0.0200305
22.3084,-0.014317,0.0208189,-0.0199178
22.3185,-0.0131358,0.0197433,-0.0227189
22.3285,-0.012015,0.019705,-0.0216743
22.3385,-0.00988636,0.0186441,-0.02156
22.3485,-0.0107172,0.0205583,-0.0253514
22.3586,-0.0116694,0.0235861,-0.0195597
22.3686,-0.0115223,0.0235619,-0.0194896
22.3786,-0.0151739,0.0187004,-0.0233098
22.3886,-0.0140946,0.0196521,-0.0213008
22.3987,-0.0139454,0.0196269,-0.021229
22.4087,-0.00790557,0.0203797,-0.0220111
22.4187,-0.0136448,0.0205218,-0.0230064
22.4288,-0.00957195,0.0223115,-0.0238333
22.4388,-0.0132956,0.0194776,-0.0238203
22.4488,-0.0132039,0.020458,-0.0218233
22.4588,-0.0130351,0.0204157,-0.0227095
22.4689,-0.00801346,0.0193661,-0.015798
22.4789,-0.00785858,0.0193385,-0.0157219
22.4889,-0.0116703,0.0204092,-0.0157215
22.4989,-0.00943879,0.0192518,-0.0213968
22.509,-0.0092818,0.018262,-0.0203577
22.519,-0.0111535,0.0202625,-0.0193486
22.529,-0.00989648,0.0181887,-0.0240609
22.539,-0.00685348,0.01909,-0.0200752
22.5491,-0.00960808,0.0171833,-0.0210023
22.5591,-0.0114312,0.0172295,-0.0199909
22.5691,-0.00637194,0.0199456,-0.0217561
22.5791,-0.0101315,0.0200216,-0.022712
22.5892,-0.00996887,0.0199905,-0.0226298
22.5992,-0.00889002,0.0209662,-0.0196631
22.6092,-0.00768839,0.0189355,-0.0195492
22.6193,-0.00755417,0.0179879,-0.01562
22.6293,-0.00931132,0.0189168,-0.0203725
22.6393,-0.0120901,0.0208982,-0.0241937
22.6493,-0.00993963,0.018851,-0.0221397
22.6594,-0.00781897,0.0187718,-0.0210616
22.6694,-0.00574338,0.0196841,-0.0190065
22.6794,-0.00467417,0.0226255,-0.0150739
22.6894,-0.00542003,0.0196461,-0.0169086
22.6995,-0.00524968,0.0196114,-0.0168201
22.7095,-0.00898484,0.0187065,-0.0177686
22.7195,-0.00977439,0.0215703,-0.022516
22.7295,-0.00667226,0.0185743,-0.0175583
22.7396,-0.00744514,0.0185382,-0.0194053
22.7496,-0.00736284,0.0176473,-0.0116083
22.7596,-0.00416706,0.0193347,-0.0201222
22.7696,-0.0059144,0.0154829,-0.0171763
22.7797,-0.00677604,0.0174748,-0.0151759
22.7897,-0.00757595,0.0183983,-0.0179966
22.7997,-0.0073986,0.0183601,-0.0179023
22.8098,-0.0072053,0.0163837,-0.0168309
22.8198,-0.00510397,0.0182674,-0.0147823
22.8298,-0.00585531,0.0172364,-0.0176007
22.8398,-0.00672803,0.0201722,-0.0175346
22.8499,-0.00448728,0.0161345,-0.0183376
22.8599,-0.00828828,0.0172233,-0.0163935
22.8699,-0.0032538,0.019029,-0.0133349
22.8799,-0.00488668,0.0169891,-0.0209568
22.89,-0.00177341,0.0149336,-0.0169358
22.9,-0.00360326,0.0178825,-0.017858
22.91,-0.00341827,0.0178404,-0.0177572
22.92,-0.00329363,0.0188051,-0.0157332
22.9301,-0.00309201,0.0178162,-0.0136934
22.9401,-0.00192839,0.0187038,-0.0145522
22.9501,-0.00370902,0.018706,-0.0154409
22.9601,-0.00146066,0.0146796,-0.0152913
22.9702,-0.00423172,0.0156882,-0.0171554
22.9802,0.00181743,0.0174288,-0.0159976
22.9902,-0.00586556,0.0176279,-0.0160294
23.0002,-0.00178341,0.0194288,-0.0158774
23.0103,-0.00159154,0.019383,-0.0157707
23.0203,-0.00332158,0.0183756,-0.0176012
23.0303,-0.000213926,0.0182985,-0.0136023
23.0404,-0.00298019,0.0173972,-0.0116169
23.0504,-0.00273981,0.0163276,-0.0143916
23.0604,-0.00161374,0.0192096,-0.0133206
23.0704,-0.00239432,0.018185,-0.0141715
23.0805,0.00175433,0.0179993,-0.0149455
23.0905,-3.19712e-05,0.018042,-0.0129571
23.1005,0.00416382,0.0168484,-0.0156525
23.1105,0.00245517,0.0158528,-0.0184541
23.1206,0.00265453,0.0158029,-0.0183406
23.1306,-0.00213501,0.0188501,-0.0173721
23.1406,0.00299426,0.0176549,-0.0171507
23.1506,0.00214281,0.0196332,-0.0141973
23.1607,0.00139884,0.0166978,-0.0131201
23.1707,0.00164736,0.0156389,-0.0149262
23.1807,-0.000132856,0.0166242,-0.0148396
