time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9719,0.00266617,0.00191968,0.00682831
20.9819,0.00256626,0.00137964,0.00550237
20.9919,0.00171795,0.00140419,0.00620631
21.0019,0.00115884,0.00214592,0.00747529
21.0119,0.00220116,0.00194164,0.0073867
21.0219,0.00112181,0.00112703,0.00743591
21.0319,0.00158286,0.00159417,0.00734826
21.0419,0.00190587,0.00171038,0.00897004
21.0519,0.00183143,0.0021623,0.00822719
21.0619,0.000871271,0.00250743,0.00882756
21.0719,0.000841172,0.00167767,0.00904692
21.0819,0.0009782,0.00122939,0.00836647
21.0919,0.00120606,0.00270373,0.00724398
21.1019,0.00117381,0.00289637,0.00845652
21.1119,-0.000446056,0.0020972,0.00904391
21.1219,-0.000693359,0.00161849,0.00880779
21.1319,-0.00101767,0.00242153,0.00873996
21.1419,-0.00135795,0.00250743,0.00851999
21.1519,-0.000691879,0.00176939,0.00814788
21.1619,-0.000926778,0.0021605,0.00901218
21.1719,-0.00187955,0.00213965,0.00989218
21.1819,-0.00156656,0.00143218,0.00988762
21.1919,-0.000628672,0.00287621,0.00989876
21.2019,-0.00169039,0.00134481,0.00994086
21.2119,-0.00192884,0.00230059,0.00976978
21.2219,-0.000993081,0.0013338,0.0117659
21.2319,-0.00225528,0.00294575,0.010909
21.2419,-0.0022212,0.00211632,0.0102662
21.2519,-0.00215731,0.00154632,0.0111192
21.2619,-0.00223146,0.0020597,0.0098212
21.2719,-0.0030845,0.00147447,0.0107666
21.2819,-0.00251919,0.00136228,0.0111326
21.2919,-0.00273277,0.00190623,0.0106293
21.3019,-0.0029318,0.00191614,0.0107826
21.3119,-0.00223127,0.00130047,0.0115924
21.3219,-0.00464421,0.00242431,0.0123416
21.3319,-0.00484534,0.00243428,0.0124961
21.3419,-0.00530656,0.00203228,0.0117356
21.3519,-0.0051734,0.00240849,0.0126691
21.3619,-0.00485783,0.00246429,0.0129317
21.3719,-0.00506175,0.00247433,0.0130879
21.3819,-0.0054037,0.00211818,0.0124206
21.3919,-0.00501393,0.00275386,0.0125929
21.4019,-0.0051589,0.00264188,0.0127809
21.4119,-0.00646422,0.00199586,0.0126946
21.4219,-0.006458,0.00196021,0.0134632
21.4319,-0.00480452,0.00177198,0.0137745
21.4419,-0.00550157,0.00216361,0.0134453
21.4519,-0.00648923,0.00209748,0.0145813
21.4619,-0.00720292,0.00201612,0.0141614
21.4719,-0.00773419,0.00217891,0.0132078
21.4819,-0.00742692,0.00214335,0.0155048
21.4919,-0.00715085,0.00100919,0.0160016
21.5019,-0.00823349,0.00202651,0.0151255
21.5119,-0.00805035,0.00319644,0.0149517
21.5219,-0.00779159,0.00274895,0.0143663
21.5319,-0.00814386,0.0028508,0.0151546
21.5419,-0.00895457,0.00180826,0.0155923
21.5519,-0.00926243,0.0023679,0.0154354
21.5619,-0.00816716,0.00242401,0.0157671
21.5719,-0.00878155,0.00232755,0.0151531
21.5819,-0.00976282,0.00221585,0.016279
21.5919,-0.00975295,0.00256192,0.0169781
21.6019,-0.00942332,0.0034268,0.0151141
21.6119,-0.0103456,0.00290316,0.0159665
21.6219,-0.0103835,0.00335608,0.0168498
21.6319,-0.00982701,0.00385479,0.016467
21.6419,-0.0112243,0.00340748,0.01758
21.6519,-0.0106844,0.00260923,0.0164961
21.6619,-0.0108623,0.00284858,0.0171672
21.6719,-0.0113766,0.00263019,0.0177015
21.6819,-0.0111897,0.00328155,0.0179309
21.6919,-0.0117511,0.00231551,0.0177945
21.7019,-0.0117638,0.00154784,0.0174296
21.7119,-0.0127995,0.00200087,0.0179042
21.7219,-0.0127526,0.00207245,0.0194931
21.7319,-0.0125689,0.00295276,0.0176645
21.7419,-0.0135914,0.00328376,0.0178045
21.7519,-0.0137448,0.00297391,0.0195776
21.7619,-0.0132121,0.00219105,0.0193369
21.7719,-0.013733,0.00250682,0.0185778
21.782,-0.0135985,0.0034177,0.019055
21.792,-0.0140596,0.00316892,0.0194104
21.802,-0.013728,0.00357628,0.0199798
21.812,-0.0144956,0.00361744,0.0195578
21.822,-0.0152181,0.00301775,0.0199295
21.832,-0.0152394,0.00296738,0.0206984
21.842,-0.0155512,0.0017421,0.0201858
21.852,-0.0156958,0.00190537,0.020467
21.862,-0.015719,0.00295365,0.0205045
21.872,-0.016109,0.00259814,0.0204507
21.882,-0.0160572,0.00231894,0.0205956
21.892,-0.0168453,0.00242121,0.0206035
21.902,-0.0169321,0.00273711,0.0210848
21.912,-0.0171416,0.00264104,0.0207729
21.922,-0.0161615,0.00346049,0.0219873
21.932,-0.0173946,0.00383745,0.0213862
21.942,-0.0187809,0.00308528,0.021945
21.952,-0.0180164,0.00269932,0.0215429
21.962,-0.0178781,0.0027101,0.0226518
21.972,-0.0179388,0.00296502,0.0226013
21.982,-0.0179239,0.00320469,0.023604
21.992,-0.0185351,0.00284928,0.0235388
22.002,-0.0199252,0.0026312,0.0232909
22.012,-0.0189051,0.0018333,0.0236079
22.022,-0.0195335,0.00308007,0.0229944
22.032,-0.0194149,0.00299934,0.0236629
22.042,-0.0188238,0.00304069,0.0232179
22.052,-0.0193931,0.00395179,0.0239939
22.062,-0.0207411,0.00263512,0.0241598
22.072,-0.0209454,0.00171519,0.0246007
22.082,-0.0218521,0.00334346,0.0238823
22.092,-0.0211726,0.00359846,0.0243238
22.102,-0.0217449,0.00231233,0.0258184
22.112,-0.022623,0.00236897,0.0246889
22.122,-0.0231356,0.00289864,0.0257721
22.132,-0.0229773,0.00295529,0.0262911
22.142,-0.0237504,0.00293566,0.025788
22.152,-0.0237764,0.00312964,0.0254989
22.162,-0.023147,0.00269803,0.0251185
22.172,-0.0237235,0.00278522,0.0262337
22.182,-0.0231411,0.00235361,0.0272424
22.192,-0.0240698,0.00282227,0.0269544
22.202,-0.0240378,0.00347404,0.0280247
22.212,-0.0240369,0.00266097,0.0267912
22.222,-0.0250895,0.00300757,0.027618
22.232,-0.024983,0.00350676,0.0282619
22.242,-0.0245415,0.0040975,0.0276243
22.252,-0.0260994,0.00323867,0.0277805
22.262,-0.0266661,0.00378364,0.0274334
22.272,-0.0256312,0.00228395,0.0283836
22.282,-0.0254971,0.00279841,0.0274877
22.292,-0.0268438,0.00288563,0.0280875
22.302,-0.027779,0.002805,0.029069
22.312,-0.028135,0.00362463,0.0289216
22.322,-0.0276066,0.00311676,0.0286219
22.332,-0.0281621,0.0026089,0.0290701
22.342,-0.0278637,0.00342853,0.0299306
22.352,-0.028222,0.0034242,0.02983
22.362,-0.0293286,0.00303841,0.030157
22.372,-0.029566,0.00349184,0.03024
22.382,-0.0298803,0.00379268,0.0306438
22.392,-0.0291118,0.00398671,0.0295829
22.402,-0.0301291,0.00436385,0.0314368
