time (sec),X vibration (g),Y vibration (g),Z vibration (g)
20.9939,0.00690788,-0.00160528,-0.00307403
21.0039,0.00742965,-0.00263543,-0.00296594
21.0139,0.00885158,-0.00255173,-0.00276624
21.0239,0.00670289,-0.00223918,-0.0036651
21.0339,0.00818566,-0.00279641,-0.00406036
21.0439,0.00881385,-0.00150736,-0.00453184
21.0539,0.0074278,-0.00269025,-0.00425558
21.0639,0.00628578,-0.00307972,-0.00217873
21.0739,0.00956868,-0.00270629,-0.00348924
21.0839,0.0083044,-0.00230236,-0.00367053
21.0939,0.0085201,-0.00253934,-0.00281417
21.1039,0.0086594,-0.00201341,-0.00180514
21.1139,0.0069523,-0.00197579,-0.00461072
21.1239,0.00599277,-0.00412019,-0.00405932
21.1339,0.00837479,-0.0040216,-0.00269913
21.1439,0.00749134,-0.00274812,-0.00275793
21.1539,0.00753856,-0.00391606,-0.0028777
21.1639,0.0108816,-0.00306988,-0.00459955
21.1739,0.00751062,-0.0019796,-0.00526847
21.1839,0.00862562,-0.00328496,-0.00323654
21.1939,0.00693292,-0.00208793,-0.000823065
21.2039,0.00775778,-0.00362224,-0.00393316
21.2139,0.00817055,-0.0021201,-0.0041898
21.2239,0.00780502,-0.00389861,-0.00379025
21.2339,0.00696635,-0.00261015,-0.00395518
21.2439,0.00846214,-0.00359528,-0.0034334
21.2539,0.00830988,-0.00351232,-0.00358293
21.2639,0.00602129,-0.00269699,-0.00286263
21.2739,0.00855432,-0.00407893,-0.00166923
21.2839,0.00773033,-0.00442332,-0.00421413
21.2939,0.00759285,-0.00398955,-0.00234919
21.3039,0.00827923,-0.00309805,-0.00301711
21.3139,0.00789737,-0.00185563,-0.00350185
21.3239,0.0097279,-0.00195601,-0.00391021
21.334,0.00751476,-0.00458937,-0.00334193
21.344,0.00992487,-0.00177541,-0.00222426
21.354,0.00850493,-0.0026846,-0.00572988
21.364,0.0088091,-0.00273934,-0.00271996
21.374,0.00697692,-0.00341971,-0.00485214
21.384,0.00673152,-0.00214702,-0.00419189
21.394,0.00854591,-0.00250703,-0.00249396
21.404,0.00804086,-0.00298915,-0.00230656
21.414,0.00918361,-0.00470725,-0.00260735
21.424,0.00907501,-0.00404503,-0.00357943
21.434,0.00931724,-0.00185698,-0.00493289
21.444,0.0101086,-0.00143898,-0.00299039
21.454,0.00763455,-0.00254687,-0.00332134
21.464,0.00821206,-0.000557286,-0.00240099
21.474,0.00874367,-0.00317586,-0.00265547
21.484,0.00930565,-0.00133893,-0.00261994
21.494,0.00744136,-0.00426275,-0.00334725
21.504,0.00800306,-0.00343296,-0.00198404
21.514,0.00786273,-0.00307623,-0.00524411
21.524,0.00724923,-0.00407756,-0.00331613
21.534,0.00935164,-0.0030953,-0.00262402
21.544,0.00834114,-0.00356264,-0.00361026
21.554,0.00791032,-0.00343493,-0.00488633
21.564,0.00755565,-0.00318519,-0.00533833
21.574,0.00746023,-0.00212677,-0.00374557
21.584,0.00780717,-0.00230435,-0.00213746
21.594,0.00864224,-0.0037942,-0.0045728
21.604,0.00801233,-0.00259856,-0.0065045
21.614,0.00623786,-0.00241003,-0.00477402
21.624,0.0098343,-0.00324387,-0.00293664
21.634,0.00746445,-0.00333007,-0.000305695
21.644,0.00691022,-0.00486589,-0.00348821
21.654,0.00850732,-0.00351784,-0.00194044
21.664,0.00853262,-0.00226139,-0.00379525
21.674,0.00825259,-0.00414826,-0.00333064
21.684,0.00714843,-0.00420412,-0.00510895
21.694,0.00602886,-0.00288674,-0.00334714
21.704,0.00774724,-0.00195087,-0.00161575
21.714,0.00610855,-0.00206788,-0.00420246
21.724,0.00759774,-0.00297838,-0.00256241
21.734,0.00557726,-0.00189003,-0.00289062
21.744,0.00821053,-0.00278534,-0.00410373
21.754,0.00947034,-0.0022006,-0.00258543
21.764,0.00613713,-0.00286711,-0.00546152
21.774,0.00782386,-0.00249606,-0.00220351
21.784,0.00734369,-0.00293377,-0.00335515
21.794,0.00741267,-0.00430229,-0.00423203
21.804,0.00609293,-0.00239023,-0.0025606
21.814,0.00706183,-0.00322477,-0.00366613
21.824,0.00760332,-0.0051122,-0.0030931
21.834,0.00846507,-0.00294086,-0.00319134
21.844,0.00686999,-0.00333301,-0.00341153
21.854,0.00860114,-0.00352684,-0.00366213
21.864,0.00744822,-0.00399536,-0.00456874
21.8741,0.00852289,-0.00338056,-0.00321695
21.8841,0.00947532,-0.00493252,-0.00368082
21.8941,0.00836764,-0.00375322,-0.00255768
21.9041,0.00941126,-0.00475595,-0.00241098
21.9141,0.0081659,-0.00327156,-0.00150122
21.9241,0.00818683,-0.00372505,-0.00284963
21.9341,0.00855853,-0.00489574,-0.00441155
21.9441,0.0092047,-0.00348775,-0.00150255
21.9541,0.00794335,-0.00391084,-0.00510889
21.9641,0.00848234,-0.00425768,-0.00334406
21.9741,0.00880752,-0.00425361,-0.00337962
21.9841,0.00722518,-0.00243379,-0.00304886
21.9941,0.00852654,-0.00450498,-0.00427436
22.0041,0.0100108,-0.00230377,-0.00226489
22.0141,0.00739032,-0.00495486,-0.00167436
22.0241,0.00649386,-0.00412701,-0.0025638
22.0341,0.00718411,-0.0022311,-0.00476536
22.0441,0.00747745,-0.00352428,-0.00306058
22.0541,0.00827412,-0.00431397,-0.00079109
22.0641,0.0086281,-0.00283016,-0.0011002
22.0741,0.00625058,-0.00372674,-0.00237047
22.0841,0.00797744,-0.00381465,-0.00240466
22.0941,0.00917005,-0.00469605,-0.00320166
22.1041,0.00557124,-0.00437205,-0.00189284
22.1141,0.00806044,-0.00447533,-0.00294897
22.1241,0.00816908,-0.00293072,-0.00249437
22.1341,0.00685846,-0.00361391,-0.00286361
22.1441,0.00960645,-0.00562465,-0.00347685
22.1541,0.00837172,-0.00343929,-0.00305237
22.1641,0.00736566,-0.00397002,-0.00255146
22.1741,0.00692396,-0.00410406,-0.0034237
22.1841,0.00855724,-0.00350572,-0.000877865
22.1941,0.00825245,-0.00310578,-0.00260432
22.2041,0.00869513,-0.00372822,-0.000744855
22.2141,0.00707768,-0.00399974,-0.00265415
22.2241,0.00724528,-0.00407295,-0.00236605
22.2341,0.00727534,-0.00522955,-0.0031917
22.2441,0.00712208,-0.00482982,-0.00308643
22.2541,0.00892171,-0.00542193,-0.00223335
22.2641,0.00683017,-0.00436615,-0.00485911
22.2741,0.00812583,-0.00352403,-0.00357851
22.2841,0.00743765,-0.00512334,-0.00354897
22.2941,0.0105639,-0.0029538,-0.00275636
22.3041,0.00630476,-0.0039581,-0.00228405
22.3141,0.0066535,-0.00450468,-0.00396306
22.3241,0.0077497,-0.00253361,-0.00202562
22.3341,0.00722825,-0.00315656,-0.0027278
22.3441,0.00611149,-0.0039474,-0.0032162
22.3541,0.00737485,-0.00330396,-0.00378076
22.3641,0.00787506,-0.0026453,-0.00471138
22.3741,0.00668132,-0.00230712,-0.00266641
22.3841,0.00652494,-0.00384579,-0.00190302
22.3941,0.00636834,-0.00375182,-0.00498467
22.4041,0.00842401,-0.00397833,-0.00324443
22.4142,0.00555089,-0.00437272,-5.44653e-05
22.4242,0.00614126,-0.00452301,-0.00147248
22.4342,0.00529708,-0.0037273,-0.00151706
22.4442,0.00494094,-0.00444224,-0.00415546
22.4542,0.00606466,-0.00286842,-0.00406241
22.4642,0.00673038,-0.00434638,-0.00218394
22.4742,0.00646508,-0.00443583,-0.00300611
22.4842,0.00810688,-0.00420489,-0.000425438
22.4942,0.00874136,-0.00441649,-0.000972643
22.5042,0.00704102,-0.00536055,0.000463935
22.5142,0.00769028,-0.00419895,-0.00212763
22.5242,0.00775946,-0.00497524,-0.00130109
22.5342,0.00825564,-0.00495812,-0.00245802
22.5442,0.00768347,-0.00361354,-0.00166169
22.5542,0.00634812,-0.00440521,-0.00168916
22.5642,0.00624847,-0.00399148,-0.00107562
22.5742,0.00573658,-0.00345572,-0.00122485
22.5842,0.00801679,-0.00464423,-0.00257936
22.5942,0.0069551,-0.00284208,-0.00350647
22.6042,0.00641194,-0.00476309,0.000281513
22.6142,0.0072113,-0.00528034,-0.00290356
22.6242,0.00375323,-0.004699,-0.00344872
22.6342,0.00636787,-0.00462123,-0.00138449
22.6442,0.00701387,-0.00408575,-0.00231079
22.6542,0.00666781,-0.00446582,0.000379375
22.6642,0.00684028,-0.00415929,-0.000622898
22.6742,0.00522723,-0.0049972,-0.000968885
22.6842,0.00520082,-0.00501119,-0.000948498
22.6942,0.00721881,-0.00418598,-0.00399494
22.7042,0.00719188,-0.00420003,-0.00397423
22.7142,0.00528786,-0.0043362,-0.00195446
22.7242,0.0052604,-0.00435033,-0.00193341
22.7342,0.00494276,-0.00561572,-0.00272091
22.7442,0.00491477,-0.00562993,-0.00269953
22.7542,0.00705325,-0.00396572,-0.00209815
22.7642,0.00702473,-0.00398001,-0.00207643
22.7742,0.00714852,-0.00375019,-0.00344309
22.7842,0.00711946,-0.00376455,-0.00342104
22.7942,0.00483184,-0.00484706,-0.000575954
22.8042,0.00461913,-0.00376287,-0.000462008
22.8142,0.00251407,-0.00504381,-0.000241081
22.8242,0.0064817,-0.00539401,0.000453037
22.8342,0.00582567,-0.00408106,-0.00159924
22.8442,0.00625273,-0.0045534,-0.00249168
22.8542,0.00648115,-0.00371353,-0.00133928
22.8642,0.00631257,-0.00514725,-0.00114801
22.8742,0.00730337,-0.0040328,-0.00123123
22.8842,0.00603561,-0.00479521,-0.000612366
22.8942,0.00388257,-0.00549661,-0.00159549
22.9042,0.0056202,-0.00429072,-0.000625333
22.9142,0.00477884,-0.00467177,-0.00368329
22.9242,0.00564617,-0.00363379,-0.00146157
22.9342,0.00611649,-0.005495,-0.00129959
22.9442,0.00554894,-0.00422822,-0.00125951
22.9543,0.00508791,-0.00508243,0.000260845
22.9643,0.00545057,-0.00471598,0.000209731
22.9743,0.00674372,-0.00445637,-0.000421035
22.9843,0.00513743,-0.00395266,0.00065735
22.9943,0.00479732,-0.0049596,-0.00287221
23.0043,0.00537245,-0.00393717,-0.00060329
23.0143,0.00500124,-0.00308261,-0.00158429
23.0243,0.00520958,-0.00471526,-0.00181744
23.0343,0.00639418,-0.00463896,-0.00246238
23.0443,0.00739539,-0.00511202,-0.00162706
23.0543,0.00471895,-0.00477639,0.00187872
23.0643,0.00669613,-0.00534107,-0.00087139
23.0743,0.00711662,-0.00531068,0.00123095
23.0843,0.00454611,-0.0047768,-0.000557494
23.0943,0.00656818,-0.00465493,0.00178935
23.1043,0.00410389,-0.00497559,0.0010236
23.1143,0.00391285,-0.00431974,-0.000947397
23.1243,0.00460651,-0.00424374,-0.000614151
23.1343,0.00496419,-0.00581572,-0.000158652
